nationality,region,enrolments,map_country
China,North-East Asia,227460,China
India,Southern and Central Asia,182369,India
Nepal,Southern and Central Asia,89530,Nepal
Philippines,South-East Asia,47666,Philippines
Vietnam,South-East Asia,45356,Vietnam
Colombia,Americas,39867,Colombia
Bangladesh,Southern and Central Asia,32525,Bangladesh
Pakistan,Southern and Central Asia,31801,Pakistan
Indonesia,South-East Asia,31579,Indonesia
Brazil,Americas,30345,Brazil
Thailand,South-East Asia,29038,Thailand
Sri Lanka,Southern and Central Asia,25627,Sri Lanka
Malaysia,South-East Asia,17798,Malaysia
"Korea, Republic of (South)",North-East Asia,17229,South Korea
Bhutan,Southern and Central Asia,15483,Bhutan
Taiwan,North-East Asia,15260,Taiwan
Japan,North-East Asia,14179,Japan
Hong Kong SAR,North-East Asia,13226,Hong Kong
Kenya,Sub-Saharan Africa,11897,Kenya
Mongolia,North-East Asia,8455,Mongolia
United States of America,Americas,8121,United States of America
Singapore,South-East Asia,7223,Singapore
Chile,Americas,7222,Chile
Fiji,Oceania and Antarctica,6784,Fiji
Turkiye,North Africa and the Middle East,6320,Turkiye
Spain,Southern and Eastern Europe,5614,Spain
Cambodia,South-East Asia,5330,Cambodia
Mexico,Americas,5111,Mexico
United Kingdom,North-West Europe,4886,United Kingdom
Saudi Arabia,North Africa and the Middle East,4657,Saudi Arabia
Germany,North-West Europe,4577,Germany
Italy,Southern and Eastern Europe,4467,Italy
France,North-West Europe,4428,France
Argentina,Americas,4169,Argentina
Canada,Americas,4045,Canada
Ecuador,Americas,3820,Ecuador
Iran,North Africa and the Middle East,3688,Iran
Peru,Americas,3357,Peru
Nigeria,Sub-Saharan Africa,2562,Nigeria
Mauritius,Sub-Saharan Africa,2386,Mauritius
Zimbabwe,Sub-Saharan Africa,2118,Zimbabwe
Papua New Guinea,Oceania and Antarctica,2072,Papua New Guinea
Norway,North-West Europe,1995,Norway
Laos,South-East Asia,1652,Laos
South Africa,Sub-Saharan Africa,1186,South Africa
Russian Federation,Southern and Eastern Europe,1166,Russian Federation
United Arab Emirates,North Africa and the Middle East,1109,United Arab Emirates
Ireland,North-West Europe,1069,Ireland
Sweden,North-West Europe,1005,Sweden
Myanmar,South-East Asia,985,Myanmar
Netherlands,North-West Europe,877,Netherlands
Switzerland,North-West Europe,872,Switzerland
Egypt,North Africa and the Middle East,834,Egypt
Kuwait,North Africa and the Middle East,771,Kuwait
Denmark,North-West Europe,754,Denmark
Poland,Southern and Eastern Europe,669,Poland
Portugal,Southern and Eastern Europe,660,Portugal
Macau,North-East Asia,630,Macau
Belgium,North-West Europe,591,Belgium
Lithuania,Southern and Eastern Europe,542,Lithuania
Ghana,Sub-Saharan Africa,538,Ghana
Jordan,North Africa and the Middle East,520,Jordan
Uzbekistan,Southern and Central Asia,518,Uzbekistan
Ethiopia,Sub-Saharan Africa,516,Ethiopia
Czech Republic,Southern and Eastern Europe,504,Czech Republic
Lebanon,North Africa and the Middle East,431,Lebanon
Uganda,Sub-Saharan Africa,347,Uganda
Slovakia,Southern and Eastern Europe,275,Slovakia
Israel,North Africa and the Middle East,271,Israel
Austria,North-West Europe,265,Austria
Kazakhstan,Southern and Central Asia,265,Kazakhstan
Brunei Darussalam,South-East Asia,261,Brunei Darussalam
Zambia,Sub-Saharan Africa,254,Zambia
Oman,North Africa and the Middle East,248,Oman
Uruguay,Americas,248,Uruguay
Greece,Southern and Eastern Europe,240,Greece
Botswana,Sub-Saharan Africa,223,Botswana
Venezuela,Americas,223,Venezuela
Finland,North-West Europe,222,Finland
North Macedonia,Southern and Eastern Europe,221,North Macedonia
Estonia,Southern and Eastern Europe,218,Estonia
Paraguay,Americas,210,Paraguay
Bolivia,Americas,195,Bolivia
Maldives,Southern and Central Asia,195,Maldives
Hungary,Southern and Eastern Europe,190,Hungary
Solomon Islands,Oceania and Antarctica,188,Solomon Islands
Guatemala,Americas,160,Guatemala
Tonga,Oceania and Antarctica,146,Tonga
Nauru,Oceania and Antarctica,132,Nauru
Morocco,North Africa and the Middle East,127,Morocco
Ukraine,Southern and Eastern Europe,119,Ukraine
Tanzania,Sub-Saharan Africa,118,Tanzania
Romania,Southern and Eastern Europe,116,Romania
Timor-Leste,South-East Asia,113,Timor-Leste
Malawi,Sub-Saharan Africa,102,Malawi
El Salvador,Americas,80,El Salvador
Iraq,North Africa and the Middle East,78,Iraq
Costa Rica,Americas,74,Costa Rica
Bulgaria,Southern and Eastern Europe,72,Bulgaria
Serbia,Southern and Eastern Europe,70,Serbia
Panama,Americas,68,Panama
Azerbaijan,Southern and Central Asia,59,Azerbaijan
Kyrgyzstan,Southern and Central Asia,57,Kyrgyzstan
Rwanda,Sub-Saharan Africa,55,Rwanda
Vanuatu,Oceania and Antarctica,55,Vanuatu
Latvia,Southern and Eastern Europe,53,Latvia
Slovenia,Southern and Eastern Europe,52,Slovenia
Albania,Southern and Eastern Europe,50,Albania
Samoa,Oceania and Antarctica,49,Samoa
Algeria,North Africa and the Middle East,43,Algeria
Mozambique,Sub-Saharan Africa,43,Mozambique
Afghanistan,Southern and Central Asia,42,Afghanistan
Sudan,North Africa and the Middle East,42,Sudan
Other,Unknown,41,Other
Honduras,Americas,40,Honduras
Luxembourg,North-West Europe,40,Luxembourg
Armenia,Southern and Central Asia,39,Armenia
Croatia,Southern and Eastern Europe,39,Croatia
Yemen,North Africa and the Middle East,38,Yemen
Syria,North Africa and the Middle East,37,Syria
Tunisia,North Africa and the Middle East,35,Tunisia
"Congo, Democratic Republic of",Sub-Saharan Africa,33,"Congo, Democratic Republic of"
Dominican Republic,Americas,33,Dominican Republic
Kiribati,Oceania and Antarctica,32,Kiribati
Cyprus,Southern and Eastern Europe,31,Cyprus
Namibia,Sub-Saharan Africa,31,Namibia
Belarus,Southern and Eastern Europe,30,Belarus
Gaza Strip and West Bank,North Africa and the Middle East,30,Gaza Strip and West Bank
Malta,Southern and Eastern Europe,30,Malta
Seychelles,Sub-Saharan Africa,28,Seychelles
Iceland,North-West Europe,27,Iceland
Cameroon,Sub-Saharan Africa,26,Cameroon
Sierra Leone,Sub-Saharan Africa,26,Sierra Leone
Bahrain,North Africa and the Middle East,24,Bahrain
Bosnia and Herzegovina,Southern and Eastern Europe,23,Bosnia and Herzegovina
Madagascar,Sub-Saharan Africa,23,Madagascar
Burundi,Sub-Saharan Africa,20,Burundi
Jamaica,Americas,20,Jamaica
Trinidad and Tobago,Americas,17,Trinidad and Tobago
Georgia,Southern and Central Asia,15,Georgia
Nicaragua,Americas,15,Nicaragua
Liberia,Sub-Saharan Africa,13,Liberia
Cuba,Americas,11,Cuba
Dominica,Americas,11,Dominica
Kosovo,Southern and Eastern Europe,11,Kosovo
Bahamas,Americas,10,Bahamas
Lesotho,Sub-Saharan Africa,10,Lesotho
Swaziland,Sub-Saharan Africa,10,Swaziland
Qatar,North Africa and the Middle East,9,Qatar
St Kitts and Nevis,Americas,9,St Kitts and Nevis
Eritrea,Sub-Saharan Africa,8,Eritrea
Turkmenistan,Southern and Central Asia,8,Turkmenistan
Tuvalu,Oceania and Antarctica,8,Tuvalu
Moldova,Southern and Eastern Europe,7,Moldova
Montenegro,Southern and Eastern Europe,7,Montenegro
Gabon,Sub-Saharan Africa,6,Gabon
Barbados,Americas,5,Barbados
Djibouti,Sub-Saharan Africa,5,Djibouti
Gambia,Sub-Saharan Africa,5,Gambia
South Sudan,North Africa and the Middle East,5,South Sudan
St Lucia,Americas,5,St Lucia
Tajikistan,Southern and Central Asia,5,Tajikistan
United Kingdom (Other),Unknown,5,United Kingdom (Other)
Chad,Sub-Saharan Africa,4,Chad
Cote d'Ivoire,Sub-Saharan Africa,4,Cote d'Ivoire
Liechtenstein,North-West Europe,4,Liechtenstein
Marshall Islands,Oceania and Antarctica,4,Marshall Islands
Suriname,Americas,4,Suriname
Andorra,Southern and Eastern Europe,3,Andorra
Belize,Americas,3,Belize
Grenada,Americas,3,Grenada
Guyana,Americas,3,Guyana
"Korea, Democratic People's Republic of (North)",North-East Asia,3,"Korea, Democratic People's Republic of (North)"
Libya,North Africa and the Middle East,3,Libya
Antigua and Barbuda,Americas,2,Antigua and Barbuda
Benin,Sub-Saharan Africa,2,Benin
Equatorial Guinea,Sub-Saharan Africa,2,Equatorial Guinea
Haiti,Americas,2,Haiti
Mali,Sub-Saharan Africa,2,Mali
"Micronesia, Federated States of",Oceania and Antarctica,2,"Micronesia, Federated States of"
Monaco,North-West Europe,2,Monaco
Niger,Sub-Saharan Africa,2,Niger
San Marino,Southern and Eastern Europe,2,San Marino
Angola,Sub-Saharan Africa,1,Angola
Bermuda,Americas,1,Bermuda
British Indian Ocean Territory,Sub-Saharan Africa,1,British Indian Ocean Territory
Burkina Faso,Sub-Saharan Africa,1,Burkina Faso
"Congo, Republic of",Sub-Saharan Africa,1,"Congo, Republic of"
Cook Islands,Oceania and Antarctica,1,Cook Islands
Guinea,Sub-Saharan Africa,1,Guinea
Guinea-Bissau,Sub-Saharan Africa,1,Guinea-Bissau
New Caledonia,Oceania and Antarctica,1,New Caledonia
Senegal,Sub-Saharan Africa,1,Senegal
St Helena,Sub-Saharan Africa,1,St Helena
St Vincent and the Grenadines,Americas,1,St Vincent and the Grenadines
"Virgin Islands, British",Americas,1,"Virgin Islands, British"
