region,enrolments,share,tile_id,x,y,enrolment_label,share_label
South Asia,377335,40.71857902858561,1,0,9,"377,335",40.7%
South Asia,377335,40.71857902858561,2,1,9,"377,335",40.7%
South Asia,377335,40.71857902858561,3,2,9,"377,335",40.7%
South Asia,377335,40.71857902858561,4,3,9,"377,335",40.7%
South Asia,377335,40.71857902858561,5,4,9,"377,335",40.7%
South Asia,377335,40.71857902858561,6,5,9,"377,335",40.7%
South Asia,377335,40.71857902858561,7,6,9,"377,335",40.7%
South Asia,377335,40.71857902858561,8,7,9,"377,335",40.7%
South Asia,377335,40.71857902858561,9,8,9,"377,335",40.7%
South Asia,377335,40.71857902858561,10,9,9,"377,335",40.7%
South Asia,377335,40.71857902858561,11,0,8,"377,335",40.7%
South Asia,377335,40.71857902858561,12,1,8,"377,335",40.7%
South Asia,377335,40.71857902858561,13,2,8,"377,335",40.7%
South Asia,377335,40.71857902858561,14,3,8,"377,335",40.7%
South Asia,377335,40.71857902858561,15,4,8,"377,335",40.7%
South Asia,377335,40.71857902858561,16,5,8,"377,335",40.7%
South Asia,377335,40.71857902858561,17,6,8,"377,335",40.7%
South Asia,377335,40.71857902858561,18,7,8,"377,335",40.7%
South Asia,377335,40.71857902858561,19,8,8,"377,335",40.7%
South Asia,377335,40.71857902858561,20,9,8,"377,335",40.7%
South Asia,377335,40.71857902858561,21,0,7,"377,335",40.7%
South Asia,377335,40.71857902858561,22,1,7,"377,335",40.7%
South Asia,377335,40.71857902858561,23,2,7,"377,335",40.7%
South Asia,377335,40.71857902858561,24,3,7,"377,335",40.7%
South Asia,377335,40.71857902858561,25,4,7,"377,335",40.7%
South Asia,377335,40.71857902858561,26,5,7,"377,335",40.7%
South Asia,377335,40.71857902858561,27,6,7,"377,335",40.7%
South Asia,377335,40.71857902858561,28,7,7,"377,335",40.7%
South Asia,377335,40.71857902858561,29,8,7,"377,335",40.7%
South Asia,377335,40.71857902858561,30,9,7,"377,335",40.7%
South Asia,377335,40.71857902858561,31,0,6,"377,335",40.7%
South Asia,377335,40.71857902858561,32,1,6,"377,335",40.7%
South Asia,377335,40.71857902858561,33,2,6,"377,335",40.7%
South Asia,377335,40.71857902858561,34,3,6,"377,335",40.7%
South Asia,377335,40.71857902858561,35,4,6,"377,335",40.7%
South Asia,377335,40.71857902858561,36,5,6,"377,335",40.7%
South Asia,377335,40.71857902858561,37,6,6,"377,335",40.7%
South Asia,377335,40.71857902858561,38,7,6,"377,335",40.7%
South Asia,377335,40.71857902858561,39,8,6,"377,335",40.7%
South Asia,377335,40.71857902858561,40,9,6,"377,335",40.7%
South Asia,377335,40.71857902858561,41,0,5,"377,335",40.7%
East Asia,295809,31.921030765412382,42,1,5,"295,809",31.9%
East Asia,295809,31.921030765412382,43,2,5,"295,809",31.9%
East Asia,295809,31.921030765412382,44,3,5,"295,809",31.9%
East Asia,295809,31.921030765412382,45,4,5,"295,809",31.9%
East Asia,295809,31.921030765412382,46,5,5,"295,809",31.9%
East Asia,295809,31.921030765412382,47,6,5,"295,809",31.9%
East Asia,295809,31.921030765412382,48,7,5,"295,809",31.9%
East Asia,295809,31.921030765412382,49,8,5,"295,809",31.9%
East Asia,295809,31.921030765412382,50,9,5,"295,809",31.9%
East Asia,295809,31.921030765412382,51,0,4,"295,809",31.9%
East Asia,295809,31.921030765412382,52,1,4,"295,809",31.9%
East Asia,295809,31.921030765412382,53,2,4,"295,809",31.9%
East Asia,295809,31.921030765412382,54,3,4,"295,809",31.9%
East Asia,295809,31.921030765412382,55,4,4,"295,809",31.9%
East Asia,295809,31.921030765412382,56,5,4,"295,809",31.9%
East Asia,295809,31.921030765412382,57,6,4,"295,809",31.9%
East Asia,295809,31.921030765412382,58,7,4,"295,809",31.9%
East Asia,295809,31.921030765412382,59,8,4,"295,809",31.9%
East Asia,295809,31.921030765412382,60,9,4,"295,809",31.9%
East Asia,295809,31.921030765412382,61,0,3,"295,809",31.9%
East Asia,295809,31.921030765412382,62,1,3,"295,809",31.9%
East Asia,295809,31.921030765412382,63,2,3,"295,809",31.9%
East Asia,295809,31.921030765412382,64,3,3,"295,809",31.9%
East Asia,295809,31.921030765412382,65,4,3,"295,809",31.9%
East Asia,295809,31.921030765412382,66,5,3,"295,809",31.9%
East Asia,295809,31.921030765412382,67,6,3,"295,809",31.9%
East Asia,295809,31.921030765412382,68,7,3,"295,809",31.9%
East Asia,295809,31.921030765412382,69,8,3,"295,809",31.9%
East Asia,295809,31.921030765412382,70,9,3,"295,809",31.9%
East Asia,295809,31.921030765412382,71,0,2,"295,809",31.9%
East Asia,295809,31.921030765412382,72,1,2,"295,809",31.9%
East Asia,295809,31.921030765412382,73,2,2,"295,809",31.9%
Southeast Asia,171437,18.499929857881277,74,3,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,75,4,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,76,5,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,77,6,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,78,7,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,79,8,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,80,9,2,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,81,0,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,82,1,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,83,2,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,84,3,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,85,4,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,86,5,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,87,6,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,88,7,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,89,8,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,90,9,1,"171,437",18.5%
Southeast Asia,171437,18.499929857881277,91,0,0,"171,437",18.5%
South America,70212,7.576643753574551,92,1,0," 70,212",7.6%
South America,70212,7.576643753574551,93,2,0," 70,212",7.6%
South America,70212,7.576643753574551,94,3,0," 70,212",7.6%
South America,70212,7.576643753574551,95,4,0," 70,212",7.6%
South America,70212,7.576643753574551,96,5,0," 70,212",7.6%
South America,70212,7.576643753574551,97,6,0," 70,212",7.6%
South America,70212,7.576643753574551,98,7,0," 70,212",7.6%
South America,70212,7.576643753574551,99,8,0," 70,212",7.6%
Africa,11897,1.2838165945461806,100,9,0," 11,897",1.3%
